Generic,Brand,Drug Class,Formulation,Side Effects (Common),Side Effects (Rare but Serious),Contraindications/Black Box Warnings
Tramadol,Ultram,Opioid Analgesic C4,"tablet, tablet ER, solution, capsule ER24","Constipation, GI distress, dizziness, sedation, edema, sweating, pruritus, headaches, flushing","Cardiac arrest, physical dependence, tolerance, seizures, pancreatitis, suicidal ideation, anemia, serotonin syndrome, adrenal insufficiency, decreased sex hormones","CI: Hypersensitivity to tramadol or other opioids, paralytic ileus, respiratory depression, bronchial asthma, age <12 y, hypercapnia, MAOI use or use within last 14 d BW: Addiction, abuse, misuse, REMS, respiratory depression, accidental ingestions, CYP2D6, neonatal withdrawal syndrome, drug interactions, concurrent benzodiazepines, errors"
Travoprost,Travatan Z,"Prostaglandin, Antiglaucoma",ophthalmic solution,"Blurred vision, hyperpigmentation of eyelid",Cataract,None
Trazodone,Desyrel,"Antidepressant, Miscellaneous",tablet,"Dizziness, sedation, headache, nausea, somnolence, xerostomia","Bleeding risk, cardiac dysrhythmia, fractures, priapism, prolonged QTc, serotonin syndrome, suicidal thoughts, torsade de pointes","CI: use of MAOI BW: Suicidal ideation, not for use in children"
Triamcinolone Nasal,Nasacort AQ,Intranasal Adrenal Glucocorticosteroid,nasal spray,"Nasal irritation and burning, headache, pharyngitis, Epistaxis, taste perversion","Severe hypersensitivity, glaucoma, pneumonia, secondary hypocortisolism, osteoporosis",None
Triamcinolone Topical,(Various),Topical Corticosteroid,"cream, lotion, ointment, aerosol","Dry skin, burning sensation, stinging, pruritus/atrophy at site of administration",HPA suppression has been reported when used with occlusive dressings over larger surface areas,None
Triamterene/Hydrochlorothiazide,Dyazide. Maxzide,Potassium Sparing/Thiazide Diuretic Combination,"capsule, tablet","Hypotension, dizziness, headache","Cardiac arrhythmias, hepatitis, hyperkalemia, gout, pancreatitis, Stevens-Johnson syndrome, decreased visual acuity","CI: concomitant use of potassium supplements, potassium-containing salt substitutes, or other potassium-sparing diuretics; or in patients with anuria, acute/chronic renal insufficiency, or hyperkalemia BW: Hyperkalemia"
Trimethoprim/Sulfamethoxazole,"Bactrim, Septra",Sulfonamide Antibiotic,"tablet, suspension","Diarrhea, nausea, Skin rash, urticaria","Severe hypersensitivity, renal failure, hepatic failure, pancytopenia, arrhythmias, Stevens-Johnson syndrome, hyperkalemia, hypoglycemia, hemolytic anemia","CI: Hypersensitivity to sulfonamides, children <2 months, pregnant patients at term, megaloblastic anemia due to folate deficiency, history of drug-induced thrombocytopenia with use of sulfonamides or trimethoprim, marked hepatic damage or severe renal disease, concomitant administration with dofetilide"
Valacyclovir,Valtrex,Viral DNA polymerase Inhibitor,tablet,"Malaise, headache, nausea, neutropenia, nasopharyngitis, increased LFTs, Vomiting, diarrhea, dizziness, abdominal pain, rash","Severe hypersensitivity, renal failure, TTP",None
Valsartan,Diovan,Angiotensin 2 Receptor Antagonist,tablet,"Dizziness, increased BUN","Angioedema, rhabdomyolysis",CI: concurrent use with aliskiren in patients with DM BW: Pregnancy
Vardenafil,"Levitra, Staxyn","Erectile Dysfunction, Phosphodiesterase Inhibitor","tablet, ODT","Flushing, headache, Nasopharyngitis, angina, hypotension","AMI, seizures, strokes, sudden hearing loss, priapism, nonarteritic anterior ischemic optic neuropathy (NAION)","CI: concurrent nitrates, concurrent guanylate cyclase stimulators"
Varenicline,Chantix,Smoking Cessation Agent (Neuro),tablet,"Dream disorder, nausea, headache, insomnia, irritability, Constipation, flatulence, vomiting, depression, anxiety","Abnormal behavior, suicidal thoughts, angioedema, hypersensitivity reactions, increased risk of accidents, increased risk of cardiovascular related events, sleepwalking, seizures",none
Varicella Vaccine,Varivax,"Vaccine, Live, Viral",injection,"Fever, injection site reactions including erythema, swelling, and soreness, Rash, GI symptoms, lymphadenopathy, headache, irritability, somnolence","Thrombocytopenia, anaphylaxis, herpes zoster, febrile seizure","CI: Hypersensitivity to varicella vaccine or a component of the vaccine (some formulations may contain gelatin, neomycin); immunosuppression; pregnancy; active, untreated tuberculosis"
Venlafaxine,"Effexor, Effexor XR",Serotonin/Norepinephrine Reuptake Inhibitor,"tablet, tablet ER, capsule ER","Dizziness, headache, insomnia, nausea, somnolence, xerostomia, weakness,","GI hemorrhage, hepatotoxicity, serotonin syndrome, suicidal thoughts",CI: MAOIs BW: Suicidal ideations
Verapamil,"Calan, Calan SR","Calcium Channel Blocker, Phenylthiazine","tablet, tablet ER, capsule ER","Gingival hyperplasia, Bradyarrhythmia, constipation, dizziness, fatigue, headache, hypotension, indigestion, nausea, palpitations, peripheral edema, rash, syncope, elevated liver enzymes","Congestive heart failure, heart block, hepatotoxicity, pulmonary edema","CI: Hypersensitivity to verapamil; symptomatic hypotension (systolic BP <90 mm Hg); 2nd- or 3rd-degree AV heart block, sick sinus syndrome; severe left ventricular dysfunction (ejection fraction <30%), atrial fibrillation/flutter associated with accessory bypass tract"
Vilazodone,Viibryd,SSRI/5-HT1A Receptor partial Agonist,tablet,"Diarrhea, nausea, H/A","Hyponatremia, serotonin syndrome, suicidal ideation",CI: MAOIs BW: Suicidal thinking and suicidal behavior
Warfarin,Coumadin,"Anticoagulant, Vitamin K Antagonist","lozenge, tablet, sublingual tablet, nasal",Bleeding,"Hemorrhage (particularly GI tract), purple toe syndrome, tissue necrosis, calciphylaxis",None
Ziprasidone,Geodon,"Antipsychotic, Second Generation",capsule,"Dizziness, extrapyramidal disease, headache, nausea, somnolence","Bone marrow depression, diabetes, neuroleptic malignant syndrome, prolonged QTc interval, syncope, tardive dyskinesia, torsades de pointes, DRESS, slowed or difficult breathing when used in combination with opioids","CI: acute or recent AMI; uncompensated heart failure; QTc prolongation, including congenital long QTc syndrome; concomitant administration of other drugs that cause QTc prolongation BW: Elderly patients with dementia are at increased risk of death, DRESS"
Zolpidem,"Ambien, Intermezzo",Nonbarbiturate Hypnotic,tablet,"N/V, phosopholipidemia","Tachycardia, complex behavior, abnormal thinking, behavior changes, anaphylaxis, worsening of depression, angioedema, drug dependence, slowed or difficult breathing when used in combination with opioids, falls leading to severe injuries associated with decreased level of consciousness","BEERS, contraindicated in severe bradycardia, sinus node dysfunction, 2/3 degree AV block"
Zoster Vaccine,Zostavax,"Vaccine, Live, Viral",injection,"Injection site reactions, including erythema, swelling, and soreness, headache, flu like symptoms","Anaphylaxis, Guillain-Barré syndrome","CI: Hypersensitivity to zoster vaccine or a component of the vaccine (some formulations contain gelatin, neomycin); immunosuppression; pregnancy"
Zoster Vaccine,Shingrix,"Vaccine, Recombinant",injection,"Injection site reactions, including erythema, swelling, and soreness, headache, flu like symptoms","Anaphylaxis, Guillain-Barré syndrome","CI: Hypersensitivity to zoster vaccine or a component of the vaccine (some formulations contain gelatin, neomycin); immunosuppression; pregnancy"
